rank	lemma	pos	count	pct	cum_pct
121	нэг	NUMR	705	0.0705	48.5055
122	хоёр	NUMR	695	0.0695	48.575
123	гурав	NUMR	685	0.0685	48.6435
124	дөрөв	NUMR	675	0.0675	48.711
125	тав	NUMR	665	0.0665	48.7775
126	зургаа	NUMR	655	0.0655	48.843
127	долоо	NUMR	645	0.0645	48.9075
128	найм	NUMR	635	0.0635	48.971
129	ес	NUMR	625	0.0625	49.0335
130	арав	NUMR	615	0.0615	49.095
131	зуу	NUMR	605	0.0605	49.1555
132	мянга	NUMR	595	0.0595	49.215
133	минут	NOUN	585	0.0585	49.2735
134	амралт	NOUN	575	0.0575	49.331
135	сургууль	NOUN	565	0.0565	49.3875
136	багш	NOUN	555	0.0555	49.443
137	сурагч	NOUN	545	0.0545	49.4975
138	оюутан	NOUN	535	0.0535	49.551
139	компьютер	NOUN	525	0.0525	49.6035
140	машин	NOUN	515	0.0515	49.655
141	утас	NOUN	505	0.0505	49.7055
142	ширээ	NOUN	497	0.0497	49.7552
143	сандал	NOUN	489	0.0489	49.8041
144	цонх	NOUN	481	0.0481	49.8522
145	хаалга	NOUN	473	0.0473	49.8995
146	өрөө	NOUN	465	0.0465	49.946
147	гудамж	NOUN	457	0.0457	49.9917
148	зам	NOUN	449	0.0449	50.0366
149	тэнгэр	NOUN	441	0.0441	50.0807
150	нар	NOUN	433	0.0433	50.124
151	од	NOUN	425	0.0425	50.1665
152	салхи	NOUN	417	0.0417	50.2082
153	бороо	NOUN	409	0.0409	50.2491
154	цас	NOUN	401	0.0401	50.2892
155	мод	NOUN	393	0.0393	50.3285
156	цэцэг	NOUN	385	0.0385	50.367
157	амьтан	NOUN	377	0.0377	50.4047
158	нохой	NOUN	369	0.0369	50.4416
159	муур	NOUN	361	0.0361	50.4777
160	морь	NOUN	353	0.0353	50.513
161	үхэр	NOUN	345	0.0345	50.5475
162	хонь	NOUN	338	0.0338	50.5813
163	шувуу	NOUN	331	0.0331	50.6144
164	загас	NOUN	324	0.0324	50.6468
165	мах	NOUN	317	0.0317	50.6785
166	талх	NOUN	310	0.031	50.7095
167	сүү	NOUN	303	0.0303	50.7398
168	цай	NOUN	296	0.0296	50.7694
169	айраг	NOUN	289	0.0289	50.7983
170	жимс	NOUN	282	0.0282	50.8265
171	ногоо	NOUN	275	0.0275	50.854
172	өндөг	NOUN	268	0.0268	50.8808
173	давс	NOUN	261	0.0261	50.9069
174	чихэр	NOUN	254	0.0254	50.9323
175	гал	NOUN	247	0.0247	50.957
176	үг	NOUN	240	0.024	50.981
177	өнгө	NOUN	234	0.0234	51.0044
178	улаан	ADJF	228	0.0228	51.0272
179	цагаан	ADJF	222	0.0222	51.0494
180	хар	ADJF	216	0.0216	51.071
181	шар	ADJF	210	0.021	51.092
182	ногоон	ADJF	204	0.0204	51.1124
183	хөх	ADJF	198	0.0198	51.1322
184	урт	ADJF	192	0.0192	51.1514
185	богино	ADJF	186	0.0186	51.17
186	өндөр	ADJF	180	0.018	51.188
187	намхан	ADJF	175	0.0175	51.2055
188	хүнд	ADJF	170	0.017	51.2225
189	хөнгөн	ADJF	165	0.0165	51.239
190	халуун	ADJF	160	0.016	51.255
191	хүйтэн	ADJF	155	0.0155	51.2705
192	чухал	ADJF	150	0.015	51.2855
193	амархан	ADJF	145	0.0145	51.3
194	хэцүү	ADJF	140	0.014	51.314
195	хямд	ADJF	135	0.0135	51.3275
196	үнэтэй	ADJF	130	0.013	51.3405
197	баян	ADJF	125	0.0125	51.353
198	ядуу	ADJF	120	0.012	51.365
199	залуу	ADJF	115	0.0115	51.3765
200	хөгшин	ADJF	110	0.011	51.3875
201	баярлах	VERB	106	0.0106	51.3981
202	уурлах	VERB	102	0.0102	51.4083
203	уйлах	VERB	98	0.0098	51.4181
204	унтах	VERB	94	0.0094	51.4275
205	сэрэх	VERB	90	0.009	51.4365
206	угаах	VERB	86	0.0086	51.4451
207	зарах	VERB	82	0.0082	51.4533
208	тоглох	VERB	78	0.0078	51.4611
209	дуулах	VERB	74	0.0074	51.4685
210	бүжиглэх	VERB	70	0.007	51.4755
