rank	lemma	pos	count	pct	cum_pct
1	байх	VERB	21000	2.1	2.1
2	нь	PRCL	18500	1.85	3.95
3	би	NPRO	17000	1.7	5.65
4	энэ	NPRO	15500	1.55	7.2
5	тэр	NPRO	14500	1.45	8.65
6	болох	VERB	13500	1.35	10.0
7	юм	PRCL	12800	1.28	11.28
8	ч	PRCL	12200	1.22	12.5
9	л	PRCL	11600	1.16	13.66
10	та	NPRO	11000	1.1	14.76
11	чи	NPRO	10500	1.05	15.81
12	бид	NPRO	10000	1.0	16.81
13	гэх	VERB	9600	0.96	17.77
14	хийх	VERB	9200	0.92	18.69
15	бас	ADVB	8800	0.88	19.57
16	их	ADVB	8500	0.85	20.42
17	одоо	ADVB	8200	0.82	21.24
18	сайн	ADJF	7900	0.79	22.03
19	хүн	NOUN	7600	0.76	22.79
20	өдөр	NOUN	7300	0.73	23.52
21	цаг	NOUN	7000	0.7	24.22
22	юу	NPRO	6800	0.68	24.9
23	хэн	NPRO	6600	0.66	25.56
24	яах	VERB	6400	0.64	26.2
25	өгөх	VERB	6200	0.62	26.82
26	авах	VERB	6000	0.6	27.42
27	явах	VERB	5850	0.585	28.005
28	ирэх	VERB	5700	0.57	28.575
29	мэдэх	VERB	5550	0.555	29.13
30	хэлэх	VERB	5400	0.54	29.67
31	бодох	VERB	5250	0.525	30.195
32	үзэх	VERB	5100	0.51	30.705
33	болно	PRED	4950	0.495	31.2
34	хэрэгтэй	PRED	4800	0.48	31.68
35	биш	PRCL	4650	0.465	32.145
36	үгүй	PRCL	4500	0.45	32.595
37	уу	PRCL	4380	0.438	33.033
38	үү	PRCL	4260	0.426	33.459
39	бэ	PRCL	4140	0.414	33.873
40	вэ	PRCL	4020	0.402	34.275
41	аа	PRCL	3900	0.39	34.665
42	даа	PRCL	3800	0.38	35.045
43	ба	CONJ	3700	0.37	35.415
44	бөгөөд	CONJ	3600	0.36	35.775
45	гэхдээ	CONJ	3500	0.35	36.125
46	хэрэв	CONJ	3400	0.34	36.465
47	болохоор	CONJ	3300	0.33	36.795
48	учраас	CONJ	3200	0.32	37.115
49	дээр	PREP	3100	0.31	37.425
50	доор	PREP	3000	0.3	37.725
51	дотор	PREP	2940	0.294	38.019
52	дараа	PREP	2880	0.288	38.307
53	өмнө	PREP	2820	0.282	38.589
54	хойно	PREP	2760	0.276	38.865
55	тухай	PREP	2700	0.27	39.135
56	шиг	PREP	2640	0.264	39.399
57	хүртэл	PREP	2580	0.258	39.657
58	төлөө	PREP	2520	0.252	39.909
59	талаар	PREP	2460	0.246	40.155
60	хамт	ADVB	2400	0.24	40.395
61	энд	ADVB	2350	0.235	40.63
62	тэнд	ADVB	2300	0.23	40.86
63	өнөөдөр	ADVB	2250	0.225	41.085
64	маргааш	ADVB	2200	0.22	41.305
65	өчигдөр	ADVB	2150	0.215	41.52
66	маш	ADVB	2100	0.21	41.73
67	дахин	ADVB	2050	0.205	41.935
68	заавал	ADVB	2000	0.2	42.135
69	үргэлж	ADVB	1960	0.196	42.331
70	үнэхээр	ADVB	1920	0.192	42.523
71	өөр	ADJF	1880	0.188	42.711
72	бүх	ADJF	1840	0.184	42.895
73	олон	ADJF	1800	0.18	43.075
74	зарим	ADJF	1760	0.176	43.251
75	ямар	ADJF	1720	0.172	43.423
76	хэдэн	NUMR	1680	0.168	43.591
77	гэр	NOUN	1640	0.164	43.755
78	найз	NOUN	1600	0.16	43.915
79	ном	NOUN	1570	0.157	44.072
80	ус	NOUN	1540	0.154	44.226
81	хот	NOUN	1510	0.151	44.377
82	улс	NOUN	1480	0.148	44.525
83	гар	NOUN	1450	0.145	44.67
84	нэр	NOUN	1420	0.142	44.812
85	хоол	NOUN	1390	0.139	44.951
86	мөнгө	NOUN	1360	0.136	45.087
87	ажил	NOUN	1330	0.133	45.22
88	сар	NOUN	1300	0.13	45.35
89	жил	NOUN	1275	0.1275	45.4775
90	газар	NOUN	1250	0.125	45.6025
91	ээж	NOUN	1225	0.1225	45.725
92	аав	NOUN	1200	0.12	45.845
93	хүүхэд	NOUN	1175	0.1175	45.9625
94	эмэгтэй	NOUN	1150	0.115	46.0775
95	эрэгтэй	NOUN	1125	0.1125	46.19
96	сайхан	ADJF	1100	0.11	46.3
97	гоё	ADJF	1080	0.108	46.408
98	том	ADJF	1060	0.106	46.514
99	жижиг	ADJF	1040	0.104	46.618
100	шинэ	ADJF	1020	0.102	46.72
101	хуучин	ADJF	1000	0.1	46.82
102	идэх	VERB	985	0.0985	46.9185
103	уух	VERB	970	0.097	47.0155
104	уулзах	VERB	955	0.0955	47.111
105	хайрлах	VERB	940	0.094	47.205
106	амьдрах	VERB	925	0.0925	47.2975
107	сурах	VERB	910	0.091	47.3885
108	ажиллах	VERB	895	0.0895	47.478
109	ойлгох	VERB	880	0.088	47.566
110	бичих	VERB	865	0.0865	47.6525
111	унших	VERB	850	0.085	47.7375
112	харах	VERB	835	0.0835	47.821
113	сонсох	VERB	820	0.082	47.903
114	суух	VERB	805	0.0805	47.9835
115	зогсох	VERB	790	0.079	48.0625
116	босох	VERB	775	0.0775	48.14
117	инээх	VERB	760	0.076	48.216
118	дуртай	ADJF	745	0.0745	48.2905
119	чадах	VERB	730	0.073	48.3635
120	хүсэх	VERB	715	0.0715	48.435
